Chart,Static build time (seconds),Dynamic build time (seconds),Overhead (%)
cilium/cilium,1.8839373588562012,0.9439353942871094,-49.89560614370943
rancher-stable/rancher,2.2713818550109863,0.45714735984802246,-79.87360166501765
fluent/fluent-bit,0.34034156799316406,0.2954983711242676,-13.175938846763843
Chart,Static cold start (seconds),Dynamic cold start (seconds),Overhead (%)
prometheus-community/alertmanager,1.2361838817596436,1.2147338390350342,-1.735182203967613
ingress-nginx/ingress-nginx,5.177755832672119,4.815969944000244,-6.987310726183195
argo/argocd-image-updater,1.2319645881652832,1.1888275146484375,-3.5014864819359834
bitnami/spark,1.4309828281402588,10.037638187408447,601.4506386812212
grafana/mimir-distributed,1.33351469039917,16.170899629592896,1112.6525298909419
k8s-dashboard/kubernetes-dashboard,1.9018340110778809,17.781980991363525,834.9912183600836
traefik/traefik,2.4558463096618652,2.0489540100097656,-16.56831284805126
metrics-server/metrics-server,1.2386372089385986,1.2050034999847412,-2.715380154184009
gitlab/gitlab-runner,1.1063320636749268,1.2578508853912354,13.695600687284188
hashicorp/consul,2.0142533779144287,1.914168357849121,-4.968839628752978
jenkinsci/jenkins,1.688807725906372,1.5713505744934082,-6.95503399298611
harbor/harbor,3.3304665088653564,4.6867334842681885,40.72303299830789
elastic/logstash,1.1467642784118652,1.264308214187622,10.250052080323035
aws/aws-node-termination-handler,1.1588094234466553,1.1431446075439453,-1.351802598922434
nextcloud/nextcloud,1.3150160312652588,12.346615314483643,838.8946614288949
vmware-tanzu/velero,6.735812664031982,5.782480001449585,-14.153194427051407
apache-airflow/airflow,74.63304352760315,65.62245559692383,-12.073188369099192
external-secrets-operator/external-secrets,2.8761672973632812,9.260547637939453,221.97527753093627
external-dns/external-dns,1.3438835144042969,1.215839147567749,-9.527936421878504
cluster-autoscaler/cluster-autoscaler,1.3585987091064453,1.376739263534546,1.3352400754179787
cilium/cilium,3.1371750831604004,3.368748903274536,7.3816033206807035
rancher-stable/rancher,1.5018467903137207,1.6474199295043945,9.692942058375014
fluent/fluent-bit,1.2594404220581055,1.306433916091919,3.731299489103216
