Chart,Static build time (seconds),Dynamic build time (seconds),Overhead (%)
prometheus-community/alertmanager,0.048813819885253906,0.13617992401123047,-178.97821627429911
ingress-nginx/ingress-nginx,0.1134798526763916,0.11915254592895508,-4.998854967445359
argo/argocd-image-updater,0.05069279670715332,0.06092095375061035,-20.17674641733413
bitnami/spark,0.06815814971923828,0.0903923511505127,-32.62148623878885
grafana/mimir-distributed,0.20394158363342285,0.19802093505859375,2.90311003246461
k8s-dashboard/kubernetes-dashboard,0.4860215187072754,0.06698036193847656,86.21864272252151
traefik/traefik,0.12214422225952148,0.12929987907409668,-5.858367004352833
metrics-server/metrics-server,0.07540512084960938,0.060029029846191406,20.3913087469014
gitlab/gitlab-runner,0.0481112003326416,0.0548245906829834,-13.95390325729832
hashicorp/consul,0.13550448417663574,0.18843865394592285,-39.06451516415147
jenkinsci/jenkins,0.06552910804748535,0.06523323059082031,0.4515206531586434
harbor/harbor,0.060899972915649414,0.06844282150268555,-12.38563537209366
elastic/logstash,0.06132006645202637,0.05978512763977051,2.503159081630669
aws/aws-node-termination-handler,0.04303264617919922,0.0470733642578125,-9.389889856614143
nextcloud/nextcloud,0.1728217601776123,0.05473518371582031,68.3285347518924
vmware-tanzu/velero,0.054097652435302734,0.0578007698059082,-6.8452459652184645
apache-airflow/airflow,0.14943361282348633,0.14532923698425293,2.7466215677202164
external-secrets-operator/external-secrets,0.13205909729003906,0.20115947723388672,-52.32534627439086
external-dns/external-dns,0.11935567855834961,0.08214950561523438,31.17252014526162
cluster-autoscaler/cluster-autoscaler,0.0699927806854248,0.08088421821594238,-15.560801305306041
cilium/cilium,0.14348411560058594,0.1566333770751953,-9.164262831164342
rancher-stable/rancher,0.11433577537536621,0.15691137313842773,-37.23733680318793
fluent/fluent-bit,0.060413360595703125,0.06283712387084961,-4.011965650059986
metallb/metallb,0.06412816047668457,0.07053041458129883,-9.983529945384854
datadog/datadog,0.13827300071716309,0.07104754447937012,48.61791954258835
istio-official/gateway,0.0598444938659668,0.06466436386108398,-8.053990741257183
sonarqube/sonarqube,0.2515139579772949,0.11828374862670898,52.97129846074511
gitea/gitea,0.502129077911377,0.08979296684265137,82.11755287780818
kyverno/kyverno,0.46921873092651367,0.19754791259765625,57.898545054333084
nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,0.06090068817138672,0.06728124618530273,-10.476988364991623
nginx/nginx-ingress,0.08316159248352051,0.10344314575195312,-24.38812517022405
runix/pgadmin4,0.07581281661987305,0.0742647647857666,2.0419394808511173
artifact-hub/artifact-hub,0.0737605094909668,0.06853294372558594,7.087214827361057
oauth2-proxy/oauth2-proxy,0.1340188980102539,0.0791928768157959,40.909171772374386
bitnami-labs/sealed-secrets,0.09257864952087402,0.07047176361083984,23.879032611131
mojo2600/pihole,0.08321928977966309,0.09945130348205566,-19.50510962707028
kedacore/keda,0.0838785171508789,0.10149860382080078,-21.00667401907837
sentry/sentry,0.49805116653442383,0.15669608116149902,68.53815597866516
goauthentik/authentik,0.3880794048309326,0.24408388137817383,37.104654784628586
descheduler/descheduler,0.08434581756591797,0.06025099754333496,28.566703978833825
jaegertracing/jaeger,0.2232062816619873,0.07787466049194336,65.11090104091562
jupyterhub/jupyterhub,0.1004645824432373,0.12502813339233398,-24.44996072419366
kubeview/kubeview,0.046292781829833984,0.07847189903259277,-69.51216999886695
airflow-helm/airflow,0.30262184143066406,0.2316882610321045,23.439676417014894
kvaps/nfs-server-provisioner,0.07973194122314453,0.06169581413269043,22.620955684468633
pmint93/metabase,0.05872344970703125,0.06569981575012207,-11.88003442899831
dex/dex,0.05967140197753906,0.060090065002441406,-0.7016141921048425
chartmuseum/chartmuseum,0.08690285682678223,0.10122275352478027,-16.47805057380445
nats/nats,0.06344842910766602,0.08247947692871094,-29.994513794425114
cloudnative-pg/cloudnative-pg,0.12587404251098633,0.11972332000732422,4.886410558495626
stakater/reloader,0.05415606498718262,0.04964566230773926,8.328527341325222
renovate/renovate,0.14342951774597168,0.07502484321594238,47.692187497402706
codecentric/keycloak,0.08981442451477051,0.0642554759979248,28.45750964272157
crossplane/crossplane,0.06377983093261719,0.05263185501098633,17.478842070636084
twuni/docker-registry,0.0634152889251709,0.060781002044677734,4.154024881289406
falcosecurity/falco,0.13087892532348633,0.08912467956542969,31.902955846294535
uptime-kuma/uptime-kuma,0.05625581741333008,0.0865178108215332,-53.79353602820889
kong/kong,0.1362471580505371,0.11063981056213379,18.79477550563292
Chart,Static package size (bytes),Dynamic package size (bytes),Overhead (%)
prometheus-community/alertmanager,14298,14298,0.0
ingress-nginx/ingress-nginx,57769,57770,-0.0017310322145095121
argo/argocd-image-updater,9367,9367,0.0
bitnami/spark,49571,33408,32.60575739847895
grafana/mimir-distributed,215615,172680,19.912807550495096
k8s-dashboard/kubernetes-dashboard,377210,13480,96.42639378595477
traefik/traefik,245708,245708,0.0
metrics-server/metrics-server,10396,10397,-0.009619084263178146
gitlab/gitlab-runner,29222,29223,-0.003422079255355554
hashicorp/consul,210907,210910,-0.0014224278947593016
jenkinsci/jenkins,79485,79485,0.0
harbor/harbor,49830,49830,0.0
elastic/logstash,14196,14197,-0.0070442378134685825
aws/aws-node-termination-handler,14399,14399,0.0
nextcloud/nextcloud,277598,38395,86.16884847873544
vmware-tanzu/velero,35697,35697,0.0
apache-airflow/airflow,204619,141686,30.756185886941097
external-secrets-operator/external-secrets,105873,102723,2.9752628148819813
external-dns/external-dns,17174,17174,0.0
cluster-autoscaler/cluster-autoscaler,30678,30678,0.0
cilium/cilium,218510,218513,-0.0013729348771223285
rancher-stable/rancher,15141,15142,-0.006604583581005217
fluent/fluent-bit,15083,15083,0.0
metallb/metallb,41176,16468,60.00582863804158
istio-official/gateway,11350,11351,-0.00881057268722467
sonarqube/sonarqube,152682,41624,72.73810927286779
gitea/gitea,420567,49514,88.22684613866518
kyverno/kyverno,348090,43914,87.38429716452642
nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,5993,5995,-0.03337226764558652
nginx/nginx-ingress,42667,42670,-0.007031195068788525
runix/pgadmin4,14763,14763,0.0
artifact-hub/artifact-hub,52518,23253,55.72375185650634
oauth2-proxy/oauth2-proxy,131890,24015,81.79164455227841
bitnami-labs/sealed-secrets,21643,21643,0.0
mojo2600/pihole,25890,25890,0.0
kedacore/keda,95905,95907,-0.0020853970074552943
sentry/sentry,586166,88282,84.93907869101926
goauthentik/authentik,202723,22336,88.98200993473854
descheduler/descheduler,8712,8714,-0.02295684113865932
jaegertracing/jaeger,316114,27733,91.22689915663337
jupyterhub/jupyterhub,46272,46274,-0.004322268326417704
kubeview/kubeview,5237,5238,-0.019094901661256446
airflow-helm/airflow,133653,72094,46.058823969533044
kvaps/nfs-server-provisioner,7422,7422,0.0
pmint93/metabase,12502,12502,0.0
dex/dex,16349,16349,0.0
chartmuseum/chartmuseum,22483,22483,0.0
nats/nats,20004,20004,0.0
cloudnative-pg/cloudnative-pg,165899,149126,10.110368356650733
stakater/reloader,9138,9138,0.0
renovate/renovate,146747,23275,84.1393691182784
codecentric/keycloak,79072,25798,67.37403885066774
twuni/docker-registry,14570,14570,0.0
falcosecurity/falco,162209,93858,42.13761258623134
uptime-kuma/uptime-kuma,8698,8698,0.0
kong/kong,161772,104712,35.27186410503672
Chart,Static pull time (seconds),Dynamic pull time (seconds),Overhead (%)
prometheus-community/alertmanager,1.281952142715454,1.3489980697631836,-5.229986737703921
ingress-nginx/ingress-nginx,1.2196118831634521,1.2662074565887451,-3.820524715160408
argo/argocd-image-updater,1.3268797397613525,1.2814724445343018,3.4221108263524744
bitnami/spark,1.5261917114257812,1.634772539138794,-7.1144946535960125
grafana/mimir-distributed,1.3939833641052246,1.3354337215423584,4.20016795540801
k8s-dashboard/kubernetes-dashboard,1.394535779953003,1.278019666671753,8.355189946089206
traefik/traefik,1.2568080425262451,1.2726235389709473,-1.2583859992582664
metrics-server/metrics-server,1.2604079246520996,1.606656551361084,-27.471155959651444
gitlab/gitlab-runner,1.3308632373809814,1.2359652519226074,7.130558782668358
hashicorp/consul,1.497389793395996,1.455596923828125,2.791048112668593
jenkinsci/jenkins,2.5230629444122314,2.531493902206421,-0.33415566634440486
harbor/harbor,1.4608659744262695,1.5691444873809814,-7.411940236149074
elastic/logstash,1.7062296867370605,1.726156234741211,-1.1678701970223768
aws/aws-node-termination-handler,1.2607152462005615,1.2981939315795898,-2.972811306278595
nextcloud/nextcloud,1.2968616485595703,1.3032643795013428,-0.49370963732978
vmware-tanzu/velero,1.2376563549041748,1.2554969787597656,-1.4414844463810899
apache-airflow/airflow,1.4194040298461914,1.4500036239624023,-2.1558057799460206
external-secrets-operator/external-secrets,1.524918794631958,1.223121166229248,19.79106228247055
external-dns/external-dns,1.2029004096984863,1.2072257995605469,-0.3595800472912575
cluster-autoscaler/cluster-autoscaler,1.30232834815979,1.2081494331359863,7.231579897410661
cilium/cilium,1.2261285781860352,1.2758185863494873,-4.052593589896157
rancher-stable/rancher,1.323085069656372,1.223790168762207,7.504800951306452
fluent/fluent-bit,1.2108979225158691,1.2407844066619873,-2.46812580898837
metallb/metallb,1.2483861446380615,1.220693588256836,2.2182684820852727
