Chart,Static build time (seconds),Dynamic build time (seconds),Overhead (%)
prometheus-community/alertmanager,0.05344057083129883,0.06728744506835938,-25.91079028847269
ingress-nginx/ingress-nginx,0.08838367462158203,0.0959935188293457,-8.610011113868596
argo/argocd-image-updater,0.06335043907165527,0.04669928550720215,26.284195987369735
bitnami/spark,5.91191840171814,0.06297755241394043,98.93473576367973
grafana/mimir-distributed,14.302067279815674,0.16755127906799316,98.82848209430216
k8s-dashboard/kubernetes-dashboard,14.386372566223145,0.07239580154418945,99.4967751515475
traefik/traefik,0.10706830024719238,0.1443326473236084,-34.80427632677692
metrics-server/metrics-server,0.06074261665344238,0.07775163650512695,-28.00178982859251
gitlab/gitlab-runner,0.05525016784667969,0.05864882469177246,-6.151396416612006
hashicorp/consul,0.11411929130554199,0.11984372138977051,-5.016180891714423
jenkinsci/jenkins,0.07333970069885254,0.07012391090393066,4.3847871811292904
harbor/harbor,0.10931825637817383,0.10860061645507812,0.6564685047784801
elastic/logstash,0.0591886043548584,0.06974434852600098,-17.834081891603393
aws/aws-node-termination-handler,0.04972267150878906,0.068817138671875,-38.40193333077602
nextcloud/nextcloud,10.45587944984436,0.08348989486694336,99.20150289349228
vmware-tanzu/velero,0.0671393871307373,0.06757497787475586,-0.6487857018568693
apache-airflow/airflow,7.357838869094849,0.12672758102416992,98.27765213021361
external-secrets-operator/external-secrets,6.89365291595459,0.11973452568054199,98.26311931946225
external-dns/external-dns,0.23418283462524414,0.24014496803283691,-2.545931010329514
cluster-autoscaler/cluster-autoscaler,0.07017683982849121,0.059858083724975586,14.703933845887281
cilium/cilium,0.14957022666931152,0.17592406272888184,-17.619707241493092
rancher-stable/rancher,0.0546269416809082,0.05828714370727539,-6.700360506629656
fluent/fluent-bit,0.07306814193725586,0.061361074447631836,16.022122883153326
metallb/metallb,2.698373556137085,0.08467793464660645,96.86188984271588
datadog/datadog,8.305822134017944,8.519323825836182,-2.5705064275793226
istio-official/gateway,0.06126594543457031,0.06229901313781738,-1.6862021730332182
sonarqube/sonarqube,20.295718669891357,0.07850956916809082,99.61317177063279
gitea/gitea,7.425071954727173,0.09101366996765137,98.77423854580012
kyverno/kyverno,2.6881983280181885,0.09003424644470215,96.65075878121397
nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,0.0630035400390625,0.0597836971282959,5.1105745943327685
nginx/nginx-ingress,0.0814058780670166,0.07457923889160156,8.385929047771064
runix/pgadmin4,0.06458210945129395,0.06923198699951172,-7.199946839340365
artifact-hub/artifact-hub,10.479543447494507,0.08118557929992676,99.22529469240058
oauth2-proxy/oauth2-proxy,7.890143156051636,0.09205031394958496,98.83335052192325
bitnami-labs/sealed-secrets,0.42479443550109863,0.10978817939758301,74.15498645407772
mojo2600/pihole,0.0662539005279541,0.07853269577026367,-18.53293941105981
kedacore/keda,0.0860447883605957,0.09140563011169434,-6.230292215529041
sentry/sentry,12.955081462860107,0.11736750602722168,99.09404270159402
goauthentik/authentik,10.53587794303894,0.08327078819274902,99.20964547384715
descheduler/descheduler,0.07782101631164551,0.06269145011901855,19.441491398722448
jaegertracing/jaeger,19.822731256484985,0.08873486518859863,99.55235802755703
jupyterhub/jupyterhub,1.4977421760559082,0.6654093265533447,55.57250525550359
kubeview/kubeview,0.28615546226501465,0.3778719902038574,-32.05129380123527
airflow-helm/airflow,21.37445616722107,0.15995430946350098,99.25165670549877
kvaps/nfs-server-provisioner,0.07139730453491211,0.05666375160217285,20.63600723964977
pmint93/metabase,0.06277132034301758,0.04998922348022461,20.36295682955918
dex/dex,0.06435298919677734,0.060433149337768555,6.091154285036826
chartmuseum/chartmuseum,0.06396174430847168,0.05570507049560547,12.908768987046873
nats/nats,0.06637454032897949,0.09022331237792969,-35.93060220190736
cloudnative-pg/cloudnative-pg,8.389758348464966,0.11612606048583984,98.61585929340758
stakater/reloader,0.06315732002258301,0.05358123779296875,15.162268168108087
renovate/renovate,6.757193088531494,0.06422615051269531,99.04951435202138
codecentric/keycloak,16.61725878715515,0.09755158424377441,99.41295020139435
crossplane/crossplane,8.151042938232422,6.808560848236084,16.470065244036846
twuni/docker-registry,0.05051827430725098,0.04818415641784668,4.620343670506728
falcosecurity/falco,13.393976211547852,0.09697794914245605,99.27595847856708
uptime-kuma/uptime-kuma,0.07129168510437012,0.06993722915649414,1.8998792718857331
kong/kong,8.324534177780151,0.09921455383300781,98.80816689902203
Chart,Static package size (bytes),Dynamic package size (bytes),Overhead (%)
prometheus-community/alertmanager,14295,14295,0.0
ingress-nginx/ingress-nginx,57759,57766,-0.012119323395488149
argo/argocd-image-updater,9367,9367,0.0
bitnami/spark,49649,33410,32.70760740397591
grafana/mimir-distributed,217613,172675,20.650420700969153
k8s-dashboard/kubernetes-dashboard,377899,13477,96.43370318524262
traefik/traefik,245709,245710,-0.0004069854991066668
metrics-server/metrics-server,10396,10396,0.0
gitlab/gitlab-runner,29222,29222,0.0
hashicorp/consul,210906,210909,-0.001422434639128332
jenkinsci/jenkins,79591,79591,0.0
harbor/harbor,49827,49827,0.0
elastic/logstash,14196,14198,-0.014088475626937165
aws/aws-node-termination-handler,14399,14399,0.0
nextcloud/nextcloud,277237,38396,86.15047775008387
vmware-tanzu/velero,35763,35763,0.0
apache-airflow/airflow,204614,141686,30.75449382740184
external-secrets-operator/external-secrets,109954,106873,2.8020808701820763
external-dns/external-dns,17175,17175,0.0
cluster-autoscaler/cluster-autoscaler,30678,30678,0.0
cilium/cilium,219436,219438,-0.0009114274777155982
rancher-stable/rancher,15141,15143,-0.013209167162010434
fluent/fluent-bit,15087,15087,0.0
datadog/datadog,195933,195933,0.0
istio-official/gateway,11351,11349,0.01761959298740199
sonarqube/sonarqube,152719,41547,72.79513354592422
gitea/gitea,419743,49515,88.20349594871148
nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,5991,5992,-0.016691704223001168
nginx/nginx-ingress,42673,42676,-0.007030206453729524
runix/pgadmin4,14764,14763,0.00677323218639935
artifact-hub/artifact-hub,52514,23251,55.72418783562478
oauth2-proxy/oauth2-proxy,131393,24018,81.72048739278348
