Chart,Static build time (seconds),Dynamic build time (seconds),Overhead (%)
prometheus-community/alertmanager,0.10814380645751953,0.12217235565185547,-12.972124483011013
ingress-nginx/ingress-nginx,0.2724287509918213,0.2678263187408447,1.6894076833743346
argo/argocd-image-updater,0.12401342391967773,0.0845651626586914,31.80967028741709
bitnami/spark,6.288475513458252,0.12920570373535156,97.94535728955559
grafana/mimir-distributed,23.278782606124878,0.6025092601776123,97.41176645543703
k8s-dashboard/kubernetes-dashboard,17.34531545639038,0.11816215515136719,99.31876617955753
traefik/traefik,0.19409561157226562,0.19679665565490723,-1.3916049212869244
metrics-server/metrics-server,0.20591950416564941,0.13923859596252441,32.382026400706735
gitlab/gitlab-runner,0.0944669246673584,0.09277153015136719,1.7946964209548661
hashicorp/consul,0.2628748416900635,0.22559070587158203,14.183227112482847
jenkinsci/jenkins,0.13744711875915527,0.12313485145568848,10.412926391382406
harbor/harbor,0.23373913764953613,0.16083812713623047,31.18904743398686
elastic/logstash,1.1603975296020508,0.3702120780944824,68.09609908240293
aws/aws-node-termination-handler,0.0877385139465332,0.08898615837097168,-1.4220031412872756
nextcloud/nextcloud,12.439407587051392,0.13273215293884277,98.93297046495198
vmware-tanzu/velero,0.1355588436126709,0.13000154495239258,4.099547113397529
apache-airflow/airflow,11.00563383102417,0.18825507164001465,98.289466335784
external-secrets-operator/external-secrets,10.626138925552368,0.17702746391296387,98.33403774265297
external-dns/external-dns,0.10720062255859375,0.12761855125427246,-19.046464664436694
cluster-autoscaler/cluster-autoscaler,0.13512802124023438,0.10168051719665527,24.752456031392033
cilium/cilium,0.2724134922027588,0.24491477012634277,10.09447874775181
rancher-stable/rancher,0.149461030960083,0.3001902103424072,-100.84848098136021
fluent/fluent-bit,0.12056446075439453,0.10190629959106445,15.475672554401562
Chart,Static package size (bytes),Dynamic package size (bytes),Overhead (%)
prometheus-community/alertmanager,14297,14297,0.0
ingress-nginx/ingress-nginx,57766,57768,-0.003462244226707752
argo/argocd-image-updater,9366,9366,0.0
bitnami/spark,49648,33409,32.7082661940058
grafana/mimir-distributed,217613,172673,20.65133976370897
k8s-dashboard/kubernetes-dashboard,378139,13473,96.43702448041593
traefik/traefik,245712,245714,-0.0008139610601028847
metrics-server/metrics-server,10397,10397,0.0
gitlab/gitlab-runner,29223,29223,0.0
hashicorp/consul,210904,210906,-0.0009482987520388423
jenkinsci/jenkins,79591,79591,0.0
harbor/harbor,49831,49831,0.0
elastic/logstash,14197,14200,-0.021131224906670423
aws/aws-node-termination-handler,14395,14395,0.0
nextcloud/nextcloud,277233,38393,86.15136004732481
vmware-tanzu/velero,35765,35770,-0.01398014818957081
apache-airflow/airflow,204620,141688,30.755546867363893
external-secrets-operator/external-secrets,109957,106875,2.802913866329565
external-dns/external-dns,18535,18533,0.010790396547073105
cluster-autoscaler/cluster-autoscaler,30678,30678,0.0
cilium/cilium,219437,219441,-0.0018228466484685808
rancher-stable/rancher,15141,15143,-0.013209167162010434
fluent/fluent-bit,15085,15085,0.0
Chart,Static pull time (seconds),Dynamic pull time (seconds),Overhead (%)
prometheus-community/alertmanager,1.2483088970184326,1.331617832183838,-6.673743603397159
ingress-nginx/ingress-nginx,1.5264601707458496,1.2033107280731201,21.169857482415292
argo/argocd-image-updater,1.217076301574707,1.3204479217529297,-8.493437925335979
bitnami/spark,1.6395654678344727,1.5356569290161133,6.337565706089254
grafana/mimir-distributed,1.442091703414917,1.2959012985229492,10.137386169394391
k8s-dashboard/kubernetes-dashboard,1.459346055984497,1.2449309825897217,14.692544822764997
traefik/traefik,1.3455500602722168,1.6667122840881348,-23.86847084313935
metrics-server/metrics-server,1.2021443843841553,1.1990876197814941,0.25427599565979575
gitlab/gitlab-runner,1.220536708831787,1.2908518314361572,-5.761000230109495
hashicorp/consul,1.3519625663757324,1.337958812713623,1.0358092753743822
jenkinsci/jenkins,1.1807448863983154,1.2350752353668213,-4.601362207397096
harbor/harbor,1.167285442352295,1.520465612411499,-30.25653856759158
elastic/logstash,1.4151737689971924,1.2514276504516602,11.570742910361073
aws/aws-node-termination-handler,1.2893564701080322,1.4823815822601318,-14.970655255324889
nextcloud/nextcloud,1.2975270748138428,1.40214204788208,-8.062642784024101
vmware-tanzu/velero,1.2359254360198975,1.2801485061645508,-3.578134154036568
apache-airflow/airflow,1.2057456970214844,1.23171067237854,-2.153437115404693
external-secrets-operator/external-secrets,1.453282117843628,1.292409896850586,11.069579610030798
external-dns/external-dns,1.219827651977539,1.285327434539795,-5.36959319261783
cluster-autoscaler/cluster-autoscaler,1.236346960067749,1.231233835220337,0.41356714680900913
cilium/cilium,1.2533197402954102,1.3366813659667969,-6.651265673972246
rancher-stable/rancher,1.4017002582550049,1.9302301406860352,-37.7063412322549
fluent/fluent-bit,1.2187552452087402,1.352637529373169,-10.985165782117168
Chart,Static install time (seconds),Dynamic install time (seconds),Overhead (%)
prometheus-community/alertmanager,0.34575939178466797,0.263836145401001,-23.693715436278634
