Chart,Static build time (seconds),Dynamic build time (seconds),Overhead (%)
prometheus-community/alertmanager,0.05321002006530762,0.12733912467956543,-139.3141827860148
ingress-nginx/ingress-nginx,0.07720279693603516,0.08450031280517578,-9.452398305189432
argo/argocd-image-updater,0.05493497848510742,0.04160308837890625,24.268490629909643
bitnami/spark,4.174450635910034,0.0593719482421875,98.57773025912799
grafana/mimir-distributed,9.727092742919922,0.1347367763519287,98.61482994032312
k8s-dashboard/kubernetes-dashboard,11.667811393737793,0.05421185493469238,99.53537254669897
traefik/traefik,0.10655856132507324,0.13085699081420898,-22.802888089873562
metrics-server/metrics-server,0.04510045051574707,0.043834686279296875,2.806544551053313
gitlab/gitlab-runner,0.05774188041687012,0.061330318450927734,-6.214619281794646
hashicorp/consul,0.11539316177368164,0.12184596061706543,-5.592011471216585
jenkinsci/jenkins,0.06156754493713379,0.058309078216552734,5.2925071543915765
harbor/harbor,0.061229705810546875,0.0586237907409668,4.255965360413681
elastic/logstash,0.06955790519714355,0.07622766494750977,-9.588787545373217
aws/aws-node-termination-handler,0.04998373985290527,0.04053473472595215,18.904157941682925
nextcloud/nextcloud,8.515429735183716,0.05527019500732422,99.3509406251224
vmware-tanzu/velero,0.05821371078491211,0.05453133583068848,6.3256145409270745
apache-airflow/airflow,5.9612720012664795,0.09324049949645996,98.43589590482281
external-secrets-operator/external-secrets,4.512714385986328,0.09048986434936523,97.99477971328365
external-dns/external-dns,0.08857083320617676,0.07198071479797363,18.73090475459834
cluster-autoscaler/cluster-autoscaler,0.06341338157653809,0.07186198234558105,-13.323056678259235
cilium/cilium,0.13359928131103516,0.149367094039917,-11.80231852607985
rancher-stable/rancher,0.09032320976257324,0.14731884002685547,-63.10186541654459
fluent/fluent-bit,0.06970429420471191,0.07172322273254395,-2.896419153033407
metallb/metallb,2.101407289505005,0.06893610954284668,96.71952648650587
datadog/datadog,7.224987268447876,7.385697364807129,-2.2243651149544217
istio-official/gateway,0.06371068954467773,0.05829501152038574,8.500422869374527
sonarqube/sonarqube,17.897847175598145,0.07230734825134277,99.59599974487475
gitea/gitea,6.937159776687622,0.07019233703613281,98.98816894383758
kyverno/kyverno,2.0741238594055176,0.08219456672668457,96.03714279868305
nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,0.05878710746765137,0.0533137321472168,9.310502857189206
nginx/nginx-ingress,0.06827497482299805,0.07373857498168945,-8.002346647297514
runix/pgadmin4,0.061482906341552734,0.07305622100830078,-18.823629778422355
artifact-hub/artifact-hub,10.665743350982666,0.08910989761352539,99.164522390225
oauth2-proxy/oauth2-proxy,5.987392902374268,0.06376361846923828,98.9350353399398
bitnami-labs/sealed-secrets,0.06927657127380371,0.06270623207092285,9.484215344481651
mojo2600/pihole,0.06291389465332031,0.06151127815246582,2.2294224647567074
kedacore/keda,0.07680010795593262,0.07352519035339355,4.264209634208051
sentry/sentry,10.840597867965698,0.10404396057128906,99.04023780017943
goauthentik/authentik,10.352241516113281,0.09318947792053223,99.0998135256458
descheduler/descheduler,0.06271052360534668,0.05673027038574219,9.536283347336965
jaegertracing/jaeger,14.237252235412598,0.08631348609924316,99.39374898560445
jupyterhub/jupyterhub,0.08962273597717285,0.08347654342651367,6.857849722669291
kubeview/kubeview,0.05331063270568848,0.05389714241027832,-1.1001739705994158
airflow-helm/airflow,13.866866111755371,0.09454846382141113,99.31816992347493
kvaps/nfs-server-provisioner,0.07613897323608398,0.06447815895080566,15.315171441991545
pmint93/metabase,0.054540157318115234,0.04851794242858887,11.041799631051155
dex/dex,0.05095195770263672,0.044556379318237305,12.552173994422297
chartmuseum/chartmuseum,0.06368899345397949,0.05502796173095703,13.598945835563825
nats/nats,0.05771136283874512,0.05661582946777344,1.8982975225048437
cloudnative-pg/cloudnative-pg,7.35422420501709,0.07742977142333984,98.94713882437094
stakater/reloader,0.0471196174621582,0.051084041595458984,-8.413532084560348
renovate/renovate,6.412291526794434,0.05280470848083496,99.176507988444
codecentric/keycloak,16.275437116622925,0.06177091598510742,99.62046539492314
crossplane/crossplane,7.149996757507324,6.987233877182007,2.2764049529731647
twuni/docker-registry,0.060662269592285156,0.054364919662475586,10.380999544089672
falcosecurity/falco,14.121610403060913,0.07044458389282227,99.50115757422714
uptime-kuma/uptime-kuma,0.05808234214782715,0.05683255195617676,2.1517558442624636
kong/kong,6.9223809242248535,0.0743100643157959,98.92652448443356
Chart,Static package size (bytes),Dynamic package size (bytes),Overhead (%)
prometheus-community/alertmanager,14296,14296,0.0
ingress-nginx/ingress-nginx,57760,57762,-0.003462603878116344
argo/argocd-image-updater,9368,9368,0.0
bitnami/spark,49650,33410,32.70896273917422
grafana/mimir-distributed,217612,172677,20.649136996121538
k8s-dashboard/kubernetes-dashboard,377886,13480,96.43278660760124
