Chart,Static build time (seconds),Dynamic build time (seconds),Overhead (%)
prometheus-community/alertmanager,0.06124162673950195,0.14406085014343262,-135.2335458955253
ingress-nginx/ingress-nginx,0.08699321746826172,0.16780686378479004,-92.89649086264923
argo/argocd-image-updater,0.05343270301818848,0.04555773735046387,14.738100868758172
bitnami/spark,74.48913884162903,0.06370329856872559,99.91447974891459
grafana/mimir-distributed,10.235684156417847,0.1373918056488037,98.65771741732908
k8s-dashboard/kubernetes-dashboard,10.815388679504395,0.0552973747253418,99.48871578854921
traefik/traefik,0.11658740043640137,0.1055610179901123,9.457610689504973
metrics-server/metrics-server,0.06264328956604004,0.05556654930114746,11.296884812270452
gitlab/gitlab-runner,0.05846238136291504,0.0560457706451416,4.133616629079683
hashicorp/consul,0.12161469459533691,0.12865447998046875,-5.788597676091819
jenkinsci/jenkins,0.06801700592041016,0.06394648551940918,5.984562751503765
harbor/harbor,0.0873098373413086,0.0856771469116211,1.8699959585367718
elastic/logstash,0.11162042617797852,0.09838080406188965,11.861289702458508
aws/aws-node-termination-handler,0.0507199764251709,0.04345297813415527,14.327684678120667
nextcloud/nextcloud,8.542454242706299,0.0655050277709961,99.2331825736506
vmware-tanzu/velero,0.06228303909301758,0.058945417404174805,5.358797093793304
apache-airflow/airflow,6.303113698959351,0.12796783447265625,97.96976794986605
external-secrets-operator/external-secrets,4.893086910247803,0.09512901306152344,98.05584869415888
external-dns/external-dns,0.08008861541748047,0.06771731376647949,15.44701651603377
cluster-autoscaler/cluster-autoscaler,0.08285093307495117,0.07501649856567383,9.456060684542823
cilium/cilium,0.14250779151916504,0.1477663516998291,-3.6900159104331283
rancher-stable/rancher,0.058854103088378906,0.06756401062011719,-14.799150908236513
fluent/fluent-bit,0.06090664863586426,0.05897927284240723,3.164475203651438
metallb/metallb,2.649195671081543,0.057347774505615234,97.83527599974514
datadog/datadog,6.9992969036102295,6.709956407546997,4.133850871706713
istio-official/gateway,0.05970501899719238,0.05579257011413574,6.5529648072645665
sonarqube/sonarqube,17.215563535690308,0.07012748718261719,99.59265064406847
gitea/gitea,6.400447845458984,0.06972217559814453,98.91066723326851
kyverno/kyverno,1.966942548751831,0.09089326858520508,95.37895661249061
nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,0.06520247459411621,0.06625938415527344,-1.6209654123351336
nginx/nginx-ingress,0.06639671325683594,0.057869672775268555,12.842564132027231
runix/pgadmin4,0.06855297088623047,0.052617549896240234,23.245412684501204
artifact-hub/artifact-hub,10.221509456634521,0.09138798713684082,99.1059247411103
oauth2-proxy/oauth2-proxy,6.457044839859009,0.07958388328552246,98.76748752317384
bitnami-labs/sealed-secrets,0.06767725944519043,0.061853647232055664,8.60497641434656
mojo2600/pihole,0.07709479331970215,0.08154010772705078,-5.766037129011408
kedacore/keda,0.08585190773010254,0.1027669906616211,-19.702629072257135
sentry/sentry,11.026363611221313,0.10694622993469238,99.03008613079062
goauthentik/authentik,10.250165939331055,0.12355399131774902,98.79461472088312
descheduler/descheduler,0.07810258865356445,0.06487059593200684,16.94181070009097
jaegertracing/jaeger,15.646094560623169,0.08941316604614258,99.42852725515816
